class;max_force;average_force;force_time0;force_time1;force_time2;force_time3;force_time4;average_speed;speed_time0;speed_time1;speed_time2;speed_time3;speed_time4;distance_time0;distance_time1;distance_time2;distance_time3;distance_time4
1;67,043345;22,566844;0,416126;0,230305;7,020689;66,825436;50,263031;0,022819;0,025506;0,024858;0,024938;0,029816;0,024455;0,008009;0,020496;0,033022;0,044536;0,058029
1;68,687042;24,452444;0,205768;0,389676;6,811704;62,739028;64,073105;0,022857;0,025902;0,024907;0,024089;0,034489;0,025432;0,007953;0,020486;0,032994;0,044778;0,057841
1;93,51112;28,426801;0,594206;0,709708;17,034288;53,212062;49,728064;0,022993;0,025537;0,024836;0,026769;0,025416;0,02433;0,008003;0,020518;0,033019;0,045422;0,058
1;105,867823;33,303045;0,630125;23,246004;12,185202;50,225292;48,339439;0,023024;0,026077;0,021528;0,021569;0,027648;0,0261;0,007969;0,020077;0,032874;0,045436;0,057927
1;106,768197;30,898832;0,489532;0,563712;2,254358;52,610448;53,977695;0,023042;0,026186;0,024934;0,024289;0,025727;0,02414;0,008004;0,020521;0,033091;0,045325;0,057963
1;86,962943;25,877343;0,230251;0,303348;4,306645;48,306419;56,842693;0,022859;0,02613;0,025066;0,025042;0,023924;0,024463;0,00801;0,020503;0,033086;0,045539;0,057967
1;108,265433;30,631293;0,326976;0,377256;4,310872;55,665538;51,487253;0,023036;0,026189;0,02491;0,025676;0,025054;0,025024;0,007991;0,020492;0,033028;0,045255;0,057978
1;98,008895;27,109037;0,346268;0,629061;5,628437;46,842313;54,961795;0,022943;0,026017;0,024764;0,024577;0,025528;0,024252;0,007971;0,020484;0,032979;0,045375;0,057932
1;94,225064;27,201597;0,518826;0,454644;5,926354;52,029113;58,562476;0,022855;0,025666;0,024555;0,025346;0,022727;0,025157;0,007959;0,0205;0,033074;0,045397;0,057955
1;65,701865;15,316074;0,215912;0,954767;7,884086;37,098795;33,987295;0,02269;0,026235;0,025013;0,024931;0,039148;0,024699;0,007974;0,020454;0,033004;0,045232;0,05789
1;64,87249;14,678252;0,345795;0,401038;8,050318;35,929255;31,451332;0,022686;0,026364;0,024737;0,024896;0,039331;0,024347;0,007973;0,020494;0,033016;0,045262;0,057941
1;65,126487;14,493017;0,555519;0,590184;7,568878;35,849974;29,088277;0,02268;0,026052;0,024784;0,024913;0,038794;0,024217;0,007967;0,020485;0,03301;0,045283;0,057957
1;64,981943;14,495306;0,517665;0,616979;8,49346;36,410535;27,71397;0,02268;0,026139;0,024801;0,024793;0,039351;0,023989;0,008021;0,020501;0,033032;0,045293;0,057998
1;66,150707;14,671388;0,616501;0,80784;8,440739;36,270289;27,703866;0,022682;0,025896;0,024715;0,024783;0,038822;0,024241;0,00799;0,020491;0,033003;0,045306;0,057986
1;66,057401;14,469879;0,687237;0,653569;8,302649;36,537361;27,360392;0,02269;0,026177;0,024756;0,0247;0,038558;0,023944;0,007963;0,020473;0,032995;0,04529;0,057974
1;66,317319;14,756332;0,313525;0,524588;8,612954;36,440496;27,360228;0,022689;0,025642;0,024707;0,024832;0,03858;0,024117;0,007966;0,020493;0,033012;0,045275;0,057984
1;66,712381;14,821735;0,607169;0,792223;8,447199;36,741755;27,250576;0,022689;0,025678;0,024412;0,024795;0,038447;0,024226;0,007974;0,020492;0,032996;0,045266;0,057978
1;66,775356;14,772416;0,437462;0,309778;7,88021;37,905572;27,463378;0,02269;0,025883;0,024611;0,024879;0,038967;0,02412;0,007947;0,020491;0,033032;0,04525;0,057977
1;66,945622;14,930763;0,20433;0,190134;8,141363;39,6731;27,905942;0,022681;0,025521;0,024776;0,02519;0,038192;0,024169;0,007922;0,020434;0,032962;0,045091;0,057931
1;67,399902;15,104286;0,509284;0,585846;8,247253;38,875472;27,701117;0,022682;0,025544;0,024725;0,024951;0,037819;0,02434;0,007922;0,020441;0,032973;0,045169;0,057938
1;67,533978;15,165933;0,302713;0,714603;8,006176;39,535483;27,600547;0,022693;0,026281;0,024714;0,025086;0,038365;0,023905;0,007954;0,020483;0,032995;0,045192;0,057993
1;67,426686;14,941206;0,122797;0,45079;8,009772;39,265109;27,858963;0,022697;0,026342;0,024874;0,0251;0,037974;0,024158;0,007948;0,020478;0,033012;0,045198;0,057976
1;67,515819;15,140345;0,646671;0,836712;8,142766;39,77294;27,59689;0,0227;0,026228;0,024295;0,024968;0,038056;0,024134;0,007945;0,020492;0,032981;0,045168;0,058004
0;155,133892;35,766357;0,431417;0,840963;87,773823;123,87661;25,047289;0,022943;0,025569;0,024815;0,028081;0,019954;0,024566;0,007991;0,020493;0,03154;0,040333;0,058256
0;131,919188;53,013252;0,318862;0,451355;73,671008;117,77067;127,634253;0,022935;0,024635;0,02499;0,025621;0,026385;0,019785;0,008056;0,020513;0,031684;0,045376;0,057913
0;139,82641;56,119989;0,203195;0,397574;50,384799;132,859232;137,758162;0,022881;0,024605;0,024973;0,022922;0,027414;0,01836;0,008051;0,020492;0,032013;0,04532;0,056877
0;150,130015;36,306222;0,117844;0,33931;19,407832;146,616265;0;0,022506;0,024516;0,024798;0,019436;0,018636;0;0,008074;0,020518;0,032669;0,04475;0
0;147,136275;63,132027;0,463693;0,495604;78,584443;142,520247;146,253394;0,021846;0,024157;0,024953;0,028582;0,022516;0,018438;0,008037;0,020503;0,031689;0,044017;0,054154
0;142,213029;77,476739;0,258369;54,176723;113,322718;141,448742;139,943296;0,023039;0,02378;0,023818;0,028055;0,027369;0,023631;0,00803;0,019466;0,032839;0,044641;0,056894
0;152,224134;22,975111;0,403144;0,394899;0,318164;52,269655;0;0,023253;0,02421;0,024909;0,025501;0,024287;0;0,008037;0,020493;0,032985;0,044524;0
0;98,283983;8,777355;0,464173;0,404852;0,680671;0,804163;75,94521;0,022835;0,024568;0,024907;0,025358;0,025;0,023977;0,008024;0,020501;0,033001;0,045542;0,056708
0;45,390142;2,526482;0,399114;0,661291;0,432049;0,378956;9,176077;0,022342;0,024616;0,024995;0,02541;0,024982;0,023339;0,008021;0,020471;0,032952;0,045515;0,057953
0;46,021707;2,623384;0,573385;0,70629;0,530713;0,525726;9,84426;0,022338;0,024383;0,024931;0,025511;0,024886;0,023084;0,008037;0,020467;0,03296;0,045518;0,057955
0;1,172573;0,443292;0,219744;0,57527;0,109045;0,235736;0,730896;0,022404;0,024609;0,024894;0,025491;0,02438;0,023539;0,008026;0,020487;0,032983;0,045527;0,057972
0;1,212182;0,581835;1,212182;0,786722;0,520433;0,664649;0,69348;0,022428;0,024292;0,024923;0,025588;0,024846;0,023487;0,008016;0,020498;0,032965;0,045528;0,057958
0;1,601192;0,376344;0,80245;0,482651;0,490298;0,496914;0,339483;0,022419;0,024132;0,024891;0,025653;0,024317;0,023569;0,007975;0,02046;0,032968;0,045494;0,057938
0;151,130217;33,748833;0,640128;0,751655;4,767677;140,183269;0;0,022422;0,025806;0,024332;0,024289;0,023691;0;0,007969;0,020498;0,032991;0,044705;0
0;150,953963;62,820659;0,072413;59,355499;133,813172;0;0;0,022424;0,025875;0,027369;0,028324;0;0;0,008043;0,019419;0,032835;0;0
1;82,57377;25,24441;0,264821;0,558825;9,801693;57,189834;56,215158;0,022691;0,026021;0,025601;0,024764;0,034255;0,023008;0,007688;0,020156;0,032674;0,045107;0,057608
1;80,815958;23,176149;0,364279;0,370205;10,120147;52,746551;49,056209;0,022691;0,025943;0,025348;0,024439;0,036319;0,024593;0,007634;0,02015;0,032689;0,045091;0,057678
